itemID,date
1,2018-01-29
1,2018-02-19
1,2018-04-23
1,2018-05-24
3,2018-01-18
3,2018-02-08
3,2018-06-28
4,2018-04-22
4,2018-05-25
4,2018-06-19
5,2018-04-17
5,2018-05-16
6,2018-05-11
6,2018-05-31
8,2018-03-27
8,2018-04-17
8,2018-05-17
9,2018-04-26
10,2018-02-19
10,2018-03-21
11,2018-04-17
12,2018-05-08
13,2018-02-19
13,2018-04-16
13,2018-06-23
15,2018-01-04
15,2018-01-27
15,2018-02-11
15,2018-02-22
15,2018-03-06
15,2018-03-26
15,2018-04-08
15,2018-05-11
15,2018-06-28
16,2018-01-23
16,2018-02-04
16,2018-03-01
17,2018-04-17
18,2018-02-21
19,2018-02-17
19,2018-03-05
19,2018-04-07
19,2018-05-04
20,2018-01-03
21,2018-06-28
22,2018-03-20
23,2018-01-18
23,2018-02-17
25,2018-01-27
26,2018-01-01
26,2018-03-21
26,2018-06-19
27,2018-01-18
27,2018-02-26
27,2018-02-27
28,2018-04-17
29,2018-02-17
29,2018-03-19
31,2018-01-29
31,2018-04-23
31,2018-05-04
31,2018-05-29
32,2018-01-29
32,2018-02-19
32,2018-04-23
34,2018-03-15
34,2018-04-25
34,2018-05-03
35,2018-01-01
35,2018-01-02
35,2018-01-09
35,2018-01-15
35,2018-01-19
35,2018-01-28
35,2018-02-03
35,2018-02-13
35,2018-02-22
35,2018-04-17
35,2018-05-25
36,2018-01-13
36,2018-03-04
36,2018-05-12
37,2018-01-29
37,2018-03-02
37,2018-04-23
37,2018-05-11
38,2018-01-18
38,2018-02-05
38,2018-03-01
38,2018-03-14
38,2018-06-08
39,2018-03-20
39,2018-05-27
40,2018-01-04
40,2018-01-08
40,2018-02-11
40,2018-02-18
40,2018-04-01
40,2018-04-22
40,2018-04-24
40,2018-05-08
40,2018-05-17
40,2018-06-09
40,2018-06-28
41,2018-01-07
41,2018-02-04
41,2018-04-07
41,2018-04-27
41,2018-05-14
41,2018-06-13
44,2018-02-19
44,2018-03-20
45,2018-03-08
47,2018-01-05
47,2018-01-18
47,2018-02-21
47,2018-05-07
49,2018-01-12
49,2018-01-13
49,2018-01-27
49,2018-02-07
49,2018-03-11
50,2018-01-15
50,2018-02-17
51,2018-02-19
51,2018-06-10
52,2018-01-01
52,2018-03-02
52,2018-04-04
53,2018-03-23
54,2018-02-19
55,2018-02-19
56,2018-02-17
56,2018-03-21
57,2018-01-25
57,2018-02-11
57,2018-02-21
57,2018-03-06
57,2018-03-26
57,2018-04-16
59,2018-03-17
59,2018-04-10
59,2018-05-03
60,2018-01-12
60,2018-02-05
60,2018-04-07
60,2018-04-25
60,2018-05-14
62,2018-02-17
63,2018-02-17
63,2018-03-05
63,2018-04-07
63,2018-04-26
63,2018-05-03
63,2018-06-10
66,2018-03-20
67,2018-03-21
67,2018-04-16
67,2018-05-02
69,2018-01-29
69,2018-03-06
73,2018-04-17
74,2018-05-16
75,2018-01-06
75,2018-01-10
75,2018-01-18
75,2018-01-25
75,2018-02-07
75,2018-02-22
75,2018-03-03
75,2018-04-04
77,2018-01-09
77,2018-06-01
78,2018-03-15
78,2018-04-17
79,2018-06-07
79,2018-06-23
81,2018-02-13
81,2018-03-21
81,2018-06-19
83,2018-02-19
83,2018-03-15
83,2018-06-13
84,2018-03-20
84,2018-05-27
85,2018-05-27
86,2018-01-15
86,2018-02-12
86,2018-02-27
86,2018-03-05
86,2018-03-16
86,2018-03-20
86,2018-05-04
86,2018-05-21
86,2018-06-04
86,2018-06-19
87,2018-03-15
87,2018-04-26
87,2018-06-02
88,2018-01-26
88,2018-01-27
88,2018-03-06
88,2018-03-15
88,2018-03-16
88,2018-03-23
88,2018-04-10
88,2018-04-24
88,2018-05-16
88,2018-06-17
89,2018-01-05
89,2018-01-25
89,2018-02-07
89,2018-02-28
91,2018-06-10
92,2018-01-05
92,2018-02-17
92,2018-03-07
93,2018-03-13
94,2018-01-23
94,2018-02-12
94,2018-03-01
94,2018-04-05
95,2018-02-19
95,2018-02-28
98,2018-03-07
98,2018-03-15
98,2018-06-08
99,2018-02-17
99,2018-03-06
99,2018-03-24
100,2018-03-23
100,2018-05-01
101,2018-02-08
101,2018-06-28
102,2018-06-28
103,2018-02-08
103,2018-06-28
104,2018-05-16
105,2018-02-03
106,2018-02-04
108,2018-02-19
108,2018-03-22
109,2018-01-29
109,2018-04-23
110,2018-01-09
111,2018-03-04
111,2018-06-07
112,2018-02-10
112,2018-04-23
112,2018-04-27
112,2018-05-16
112,2018-06-23
113,2018-01-01
113,2018-01-05
114,2018-03-23
115,2018-01-14
115,2018-03-07
115,2018-06-04
115,2018-06-05
116,2018-03-12
116,2018-05-02
116,2018-06-10
118,2018-01-24
119,2018-03-12
121,2018-02-17
121,2018-03-15
121,2018-03-21
127,2018-02-05
127,2018-03-06
127,2018-04-16
129,2018-02-17
129,2018-06-08
130,2018-05-20
131,2018-01-18
136,2018-03-15
136,2018-03-30
137,2018-03-02
137,2018-03-19
137,2018-04-13
